#SampleID	faith_pd
B1	293.0730911508049
B2	263.7187812586147
B3	270.3027420236436
B4	320.1885600257259
B5	298.0568297595893
B6	331.3604822117316
B7	289.8286015893341
B8	278.6092347811087
B9	359.1613316062056
C1	262.9416505154846
C2	321.2859126746583
C4	344.7402329758364
C5	286.2201616290094
O1_1	339.3788412311281
O2	384.0572600737792
O3	281.2522314062198
O4	337.1259299158833
O5	326.5528313395159
O6	279.4016838174449
O7	328.2078469890711
O8	376.8347959806751
P1	324.1286403883572
P2	344.4286783128269
P3	315.2369361392169
P4	273.4474883751713
P5	245.7841801066382
P6	301.4439732339796
P7	372.6386211215504
P8	302.5446205771415
P9	361.5256371216524
R1	275.0289955801379
R2	349.9333039140538
R3	258.0422152324918
R4	301.4129284807227
R6	303.8694170941761
R7	333.8903525228798
R8	298.1446529374376
S1	313.8170688149689
S2	346.7556771436518
S3	265.3825405109972
S4	302.4355747203961
